[ 2017-04-17T09:36:28+08:00 ] /web/qudao/index.php/Login/userCheck | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000480s ]
[ 2017-04-17T09:36:28+08:00 ] /web/qudao/index.php/Login/userCheck | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000525s ]
[ 2017-04-17T09:36:28+08:00 ] /web/qudao/index.php/Login/userCheck | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2017-04-17T09:36:28+08:00 ] /web/qudao/index.php/Login/userCheck | NOTIC: [8] A session had already been started - ignoring session_start() LoginAction.class.php 第 10 行.
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ route_check ] --START--
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.001686s ]
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001855s ]
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001049s ]
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001149s ]
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ view_template ] --START--
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.001123s ]
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001233s ]
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.019768s ]
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019865s ]
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ view_filter ] --START--
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.001368s ]
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.001376s ]
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001171s ]
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.001579s ]
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005662s ]
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\nginx-1.8.1\html\web\qudao\Common\common.php:1) View.class.php 第 120 行.
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\nginx-1.8.1\html\web\qudao\Common\common.php:1) View.class.php 第 121 行.
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\nginx-1.8.1\html\web\qudao\Common\common.php:1) View.class.php 第 122 行.
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ view_end ] --START--
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001480s ]
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001530s ]
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000861s ]
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000950s ]
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000548s ]
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000599s ]
