[ 2016-11-22T16:59:43+08:00 ] /qudao/index.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001535s ]
[ 2016-11-22T16:59:43+08:00 ] /qudao/index.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.001972s ]
[ 2016-11-22T16:59:43+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007402s ]
[ 2016-11-22T16:59:43+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_end ] --START--
[ 2016-11-22T16:59:43+08:00 ] /qudao/index.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.002003s ]
[ 2016-11-22T16:59:43+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.002109s ]
[ 2016-11-22T16:59:43+08:00 ] /qudao/index.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2016-11-22T16:59:43+08:00 ] /qudao/index.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001747s ]
[ 2016-11-22T16:59:43+08:00 ] /qudao/index.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001906s ]
[ 2016-11-22T16:59:43+08:00 ] /qudao/index.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2016-11-22T16:59:43+08:00 ] /qudao/index.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001081s ]
[ 2016-11-22T16:59:43+08:00 ] /qudao/index.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001189s ]
[ 2016-11-22T16:59:46+08:00 ] /qudao/index.php/Login/userCheck | INFO: Tag[ route_check ] --START--
[ 2016-11-22T16:59:46+08:00 ] /qudao/index.php/Login/userCheck | INFO: Run CheckRoute Behavior [ RunTime:0.001761s ]
[ 2016-11-22T16:59:46+08:00 ] /qudao/index.php/Login/userCheck | INFO: Tag[ route_check ] --END-- [ RunTime:0.001922s ]
[ 2016-11-22T16:59:46+08:00 ] /qudao/index.php/Login/userCheck | INFO: Tag[ app_begin ] --START--
[ 2016-11-22T16:59:46+08:00 ] /qudao/index.php/Login/userCheck | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001089s ]
[ 2016-11-22T16:59:46+08:00 ] /qudao/index.php/Login/userCheck | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001196s ]
[ 2016-11-22T16:59:46+08:00 ] /qudao/index.php/Login/userCheck | NOTIC: [8] A session had already been started - ignoring session_start() LoginAction.class.php 第 10 行.
[ 2016-11-22T16:59:47+08:00 ] /qudao/index.php/User/index | INFO: Tag[ route_check ] --START--
[ 2016-11-22T16:59:47+08:00 ] /qudao/index.php/User/index | INFO: Run CheckRoute Behavior [ RunTime:0.001750s ]
[ 2016-11-22T16:59:47+08:00 ] /qudao/index.php/User/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001911s ]
[ 2016-11-22T16:59:47+08:00 ] /qudao/index.php/User/index | INFO: Tag[ app_begin ] --START--
[ 2016-11-22T16:59:47+08:00 ] /qudao/index.php/User/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001083s ]
[ 2016-11-22T16:59:47+08:00 ] /qudao/index.php/User/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001190s ]
[ 2016-11-22T16:59:48+08:00 ] /qudao/index.php/User/index | INFO: Tag[ view_template ] --START--
[ 2016-11-22T16:59:48+08:00 ] /qudao/index.php/User/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001701s ]
[ 2016-11-22T16:59:48+08:00 ] /qudao/index.php/User/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001834s ]
[ 2016-11-22T16:59:48+08:00 ] /qudao/index.php/User/index | INFO: Tag[ view_parse ] --START--
[ 2016-11-22T16:59:48+08:00 ] /qudao/index.php/User/index | INFO: Run ParseTemplate Behavior [ RunTime:0.023879s ]
[ 2016-11-22T16:59:48+08:00 ] /qudao/index.php/User/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.023995s ]
[ 2016-11-22T16:59:48+08:00 ] /qudao/index.php/User/index | INFO: Tag[ view_filter ] --START--
[ 2016-11-22T16:59:48+08:00 ] /qudao/index.php/User/index | INFO: Run ContentReplace Behavior [ RunTime:0.001750s ]
[ 2016-11-22T16:59:48+08:00 ] /qudao/index.php/User/index | INFO: Run TokenBuild Behavior [ RunTime:0.001891s ]
[ 2016-11-22T16:59:48+08:00 ] /qudao/index.php/User/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001538s ]
[ 2016-11-22T16:59:48+08:00 ] /qudao/index.php/User/index | INFO: Run ShowRuntime Behavior [ RunTime:0.002036s ]
