[ 2017-01-04T10:40:07+08:00 ] /index.php/Login/userCheck | NOTIC: [8] A session had already been started - ignoring session_start() LoginAction.class.php 第 10 行.
[ 2017-01-04T10:40:09+08:00 ] /index.php/Login | INFO: Tag[ route_check ] --START--
[ 2017-01-04T10:40:09+08:00 ] /index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.001747s ]
[ 2017-01-04T10:40:09+08:00 ] /index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001869s ]
[ 2017-01-04T10:40:09+08:00 ] /index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2017-01-04T10:40:09+08:00 ] /index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001436s ]
[ 2017-01-04T10:40:09+08:00 ] /index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001543s ]
[ 2017-01-04T10:40:09+08:00 ] /index.php/Login | INFO: Tag[ view_template ] --START--
[ 2017-01-04T10:40:09+08:00 ] /index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.001975s ]
[ 2017-01-04T10:40:09+08:00 ] /index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.002088s ]
[ 2017-01-04T10:40:09+08:00 ] /index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2017-01-04T10:40:09+08:00 ] /index.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.018574s ]
[ 2017-01-04T10:40:09+08:00 ] /index.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018687s ]
[ 2017-01-04T10:40:09+08:00 ] /index.php/Login | INFO: Tag[ view_filter ] --START--
[ 2017-01-04T10:40:09+08:00 ] /index.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.001752s ]
[ 2017-01-04T10:40:09+08:00 ] /index.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.001859s ]
[ 2017-01-04T10:40:09+08:00 ] /index.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001534s ]
[ 2017-01-04T10:40:09+08:00 ] /index.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.001978s ]
[ 2017-01-04T10:40:09+08:00 ] /index.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007412s ]
[ 2017-01-04T10:40:09+08:00 ] /index.php/Login | INFO: Tag[ view_end ] --START--
[ 2017-01-04T10:40:09+08:00 ] /index.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.002159s ]
[ 2017-01-04T10:40:09+08:00 ] /index.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.002260s ]
[ 2017-01-04T10:40:09+08:00 ] /index.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2017-01-04T10:40:09+08:00 ] /index.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001732s ]
