[ 2016-11-17T18:31:43+08:00 ] /qudao/ | INFO: Tag[ app_begin ] --START--
[ 2016-11-17T18:31:43+08:00 ] /qudao/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001664s ]
[ 2016-11-17T18:31:43+08:00 ] /qudao/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001839s ]
[ 2016-11-17T18:31:45+08:00 ] /qudao/index.php/User/index | INFO: Tag[ route_check ] --START--
[ 2016-11-17T18:31:45+08:00 ] /qudao/index.php/User/index | INFO: Run CheckRoute Behavior [ RunTime:0.002438s ]
[ 2016-11-17T18:31:45+08:00 ] /qudao/index.php/User/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002607s ]
[ 2016-11-17T18:31:45+08:00 ] /qudao/index.php/User/index | INFO: Tag[ app_begin ] --START--
[ 2016-11-17T18:31:45+08:00 ] /qudao/index.php/User/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001096s ]
[ 2016-11-17T18:31:45+08:00 ] /qudao/index.php/User/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001205s ]
[ 2016-11-17T18:31:45+08:00 ] /qudao/index.php/Login | INFO: Tag[ route_check ] --START--
[ 2016-11-17T18:31:45+08:00 ] /qudao/index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.002293s ]
[ 2016-11-17T18:31:45+08:00 ] /qudao/index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002461s ]
[ 2016-11-17T18:31:45+08:00 ] /qudao/index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2016-11-17T18:31:45+08:00 ] /qudao/index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001628s ]
[ 2016-11-17T18:31:45+08:00 ] /qudao/index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001739s ]
[ 2016-11-17T18:31:45+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_template ] --START--
[ 2016-11-17T18:31:45+08:00 ] /qudao/index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.001937s ]
